id,index,match_id,period,timestamp,minute,second,event_type_id,event_type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,player_id,player_name,player_position_id,player_position_name,location_x,location_y,end_location_x,end_location_y,end_location_z,impact_height,duration,under_pressure,counterpress,substituted_player_id,substituted_player_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_cross,pass_cut_back,pass_switch,assisted_shot_id,key_pass_id,follows_dribble,one_on_one,open_goal,statsbomb_xg,off_camera,out,obv_for_after,obv_for_before,obv_for_net,obv_against_after,obv_against_before,obv_against_net,obv_total_net,outcome_id,outcome_name,type_id,type_name,card_id,card_name,body_part_id,body_part_name,technique_id,technique_name,position_id,position_name,advantage,aerial_won,backheel,defensive,deflected,deflection,first_time,in_chain,miscommunication,nutmeg,offensive,overrun,penalty,recovery_failure,redirect,save_block,through_ball,throw_in,early_video_end,late_video_start,match_suspended,related_events,freeze_frame_player_id,freeze_frame_player_name,freeze_frame_player_position_id,freeze_frame_player_position_name,freeze_frame_teammate,freeze_frame_x,freeze_frame_y,formation_player_id,formation_player_name,formation_position_id,formation_position_name,formation_jersey_number
8b889cf8-fe4d-4954-8a4f-4050dbd625d1,1993,3798930,2,00:12:15.709,57,15,17,Pressure,131,1330,Servette,1,Regular Play,995,FC Zürich,26142,Adrià Guerrero Aguilar,8,Left Wing Back,56.8,23.8,,,,,0.649023,false,false,,,,,,,,,,,,,,false,,,,false,false,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,8a343040-dab2-4c0a-a9ac-b6b758540c53,,,,,,,,,,,,
345f577b-f862-46f5-a7d0-91e0ba210304,1994,3798930,2,00:12:17.010,57,17,17,Pressure,131,1330,Servette,1,Regular Play,995,FC Zürich,48933,Ousmane Doumbia,11,Left Defensive Midfield,55.9,24.5,,,,,0.151999,false,false,,,,,,,,,,,,,,false,,,,false,false,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,cc8ac3d4-b257-4d3f-937f-936742303f5e,,,,,,,,,,,,
cc8ac3d4-b257-4d3f-937f-936742303f5e,1995,3798930,2,00:12:17.162,57,17,14,Dribble,131,1330,Servette,1,Regular Play,1330,Servette,28947,Kastriot Imeri,13,Right Center Midfield,64.4,55.6,,,,,0.0,true,false,,,,,,,,,,,,,,false,,,,false,false,0.015770381,0.017329391,-0.0015590098,0.01061446,0.010353083,2.6137754E-4,-0.0018203873,9,Incomplete,,,,,,,,,,,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,"345f577b-f862-46f5-a7d0-91e0ba210304, b57c91f4-e56a-4e76-a340-187cff6c214e",,,,,,,,,,,,
b57c91f4-e56a-4e76-a340-187cff6c214e,1996,3798930,2,00:12:17.162,57,17,4,Duel,131,1330,Servette,1,Regular Play,995,FC Zürich,48933,Ousmane Doumbia,11,Left Defensive Midfield,55.7,24.5,,,,,0.0,true,false,,,,,,,,,,,,,,false,,,,false,false,0.01061446,0.010353083,2.6137754E-4,0.015770381,0.017329391,-0.0015590098,0.0018203873,13,Lost In Play,11,Tackle,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,cc8ac3d4-b257-4d3f-937f-936742303f5e,,,,,,,,,,,,
a97d31b0-4d29-4e31-be39-6a80ab1453d2,1997,3798930,2,00:12:18.736,57,18,17,Pressure,131,1330,Servette,1,Regular Play,995,FC Zürich,48933,Ousmane Doumbia,11,Left Defensive Midfield,61.5,26.7,,,,,0.366783,false,false,,,,,,,,,,,,,,false,,,,false,false,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"6a995913-c78f-407d-aff3-0bb2a231900c, 8a97f22d-4fda-4ea8-b907-ba5ce306c0b1",,,,,,,,,,,,
8a97f22d-4fda-4ea8-b907-ba5ce306c0b1,1998,3798930,2,00:12:18.849,57,18,2,Ball Recovery,131,1330,Servette,1,Regular Play,1330,Servette,28963,Anthony Sauthier,2,Right Back,56.7,53.7,,,,,0.0,true,false,,,,,,,,,,,,,,false,,,,false,false,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,a97d31b0-4d29-4e31-be39-6a80ab1453d2,,,,,,,,,,,,
6a995913-c78f-407d-aff3-0bb2a231900c,1999,3798930,2,00:12:18.849,57,18,43,Carries,131,1330,Servette,1,Regular Play,1330,Servette,28963,Anthony Sauthier,2,Right Back,56.7,53.7,57.3,52.7,,,0.414065,true,false,,,,,,,,,,,,,,false,,,,false,false,0.01694858,0.0108949505,0.0060536303,0.010999022,0.015679222,-0.0046801995,0.01073383,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"14524d7f-cc88-4fdd-8f4f-32e5b3bc7b19, 8a97f22d-4fda-4ea8-b907-ba5ce306c0b1, a97d31b0-4d29-4e31-be39-6a80ab1453d2",,,,,,,,,,,,
14524d7f-cc88-4fdd-8f4f-32e5b3bc7b19,2000,3798930,2,00:12:19.263,57,19,3,Dispossessed,131,1330,Servette,1,Regular Play,1330,Servette,28963,Anthony Sauthier,2,Right Back,57.3,52.7,,,,,0.0,true,false,,,,,,,,,,,,,,false,,,,false,false,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0790de4e-cd38-43cd-980d-38d01e4758eb,,,,,,,,,,,,
0790de4e-cd38-43cd-980d-38d01e4758eb,2001,3798930,2,00:12:19.263,57,19,4,Duel,131,1330,Servette,1,Regular Play,995,FC Zürich,48933,Ousmane Doumbia,11,Left Defensive Midfield,62.8,27.4,,,,,0.0,true,false,,,,,,,,,,,,,,false,,,,false,false,0.010999022,0.01061446,3.8456172E-4,0.01694858,0.015770381,0.0011781994,-7.936377E-4,13,Lost In Play,11,Tackle,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,14524d7f-cc88-4fdd-8f4f-32e5b3bc7b19,,,,,,,,,,,,
8b81ccd8-b3e9-4bd6-b4f0-bc5a7c0038b0,2002,3798930,2,00:12:19.877,57,19,2,Ball Recovery,131,1330,Servette,1,Regular Play,1330,Servette,7597,David Douline,15,Left Center Midfield,59.0,49.6,,,,,0.0,false,false,,,,,,,,,,,,,,false,,,,false,false,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,,,
