,stamp,lon,lat,speed
5003,2021-11-07 16:22:34.330,,,
5004,2021-11-07 16:22:34.804,,,
5005,2021-11-07 16:22:35.045,,,
5006,2021-11-07 16:22:35.287,,,
5007,2021-11-07 16:22:35.529,,,
5008,2021-11-07 16:22:35.771,,,
5009,2021-11-07 16:22:36.012,,,
5010,2021-11-07 16:22:36.244,,,
5011,2021-11-07 16:22:36.486,,,
5012,2021-11-07 16:22:36.738,,,
5013,2021-11-07 16:22:36.969,,,
5014,2021-11-07 16:22:37.211,,,
5015,2021-11-07 16:22:37.443,,,
5016,2021-11-07 16:22:37.684,,,
5017,2021-11-07 16:22:37.926,,,
5018,2021-11-07 16:22:38.168,,,
5019,2021-11-07 16:22:38.410,,,
5020,2021-11-07 16:22:38.651,,,
5021,2021-11-07 16:22:38.883,,,
5022,2021-11-07 16:22:39.125,,,
5023,2021-11-07 16:22:39.367,,,
5024,2021-11-07 16:22:39.608,,,
5025,2021-11-07 16:22:39.850,,,
5026,2021-11-07 16:22:40.092,,,
5027,2021-11-07 16:22:40.324,,,
5028,2021-11-07 16:22:40.565,,,
5029,2021-11-07 16:22:40.807,,,
5030,2021-11-07 16:22:41.049,,,
5031,2021-11-07 16:22:41.291,,,
5032,2021-11-07 16:22:41.532,,,
5033,2021-11-07 16:22:41.764,,,
5034,2021-11-07 16:22:42.006,,,
5035,2021-11-07 16:22:42.247,,,
5036,2021-11-07 16:22:42.489,,,
5037,2021-11-07 16:22:42.731,,,
5038,2021-11-07 16:22:42.963,,,
5039,2021-11-07 16:22:43.204,,,
5040,2021-11-07 16:22:43.446,,,
5041,2021-11-07 16:22:43.688,,,
5042,2021-11-07 16:22:43.930,,,
5043,2021-11-07 16:22:44.171,,,
5044,2021-11-07 16:22:44.403,,,
5045,2021-11-07 16:22:44.645,,,
5046,2021-11-07 16:22:44.887,,,
5047,2021-11-07 16:22:45.128,,,
5048,2021-11-07 16:22:45.370,,,
5049,2021-11-07 16:22:45.612,,,
5050,2021-11-07 16:22:45.843,,,
5051,2021-11-07 16:22:46.085,,,
5052,2021-11-07 16:22:46.327,,,
5053,2021-11-07 16:22:46.569,,,
5054,2021-11-07 16:22:46.810,,,
5055,2021-11-07 16:22:47.052,,,
5056,2021-11-07 16:22:47.284,,,
5057,2021-11-07 16:22:47.526,,,
5058,2021-11-07 16:22:47.767,,,
5059,2021-11-07 16:22:48.009,,,
5060,2021-11-07 16:22:48.251,,,
5061,2021-11-07 16:22:48.493,,,
5062,2021-11-07 16:22:48.734,,,
5063,2021-11-07 16:22:48.966,,,
5064,2021-11-07 16:22:49.208,,,
5065,2021-11-07 16:22:49.450,,,
5066,2021-11-07 16:22:49.691,,,
5067,2021-11-07 16:22:49.933,,,
5068,2021-11-07 16:22:50.165,,,
5069,2021-11-07 16:22:50.406,,,
5070,2021-11-07 16:22:50.648,,,
5071,2021-11-07 16:22:50.890,,,
5072,2021-11-07 16:22:51.132,,,
5073,2021-11-07 16:22:51.363,,,
5074,2021-11-07 16:22:51.605,,,
5075,2021-11-07 16:22:51.847,,,
5076,2021-11-07 16:22:52.089,,,
5077,2021-11-07 16:22:52.330,,,
5078,2021-11-07 16:22:52.572,,,
5079,2021-11-07 16:22:52.804,,,
5080,2021-11-07 16:22:53.046,,,
5081,2021-11-07 16:22:53.287,,,
5082,2021-11-07 16:22:53.529,,,
5083,2021-11-07 16:22:53.771,,,
5084,2021-11-07 16:22:54.013,,,
5085,2021-11-07 16:22:54.244,,,
5086,2021-11-07 16:22:54.486,,,
5087,2021-11-07 16:22:54.738,,,
5088,2021-11-07 16:22:54.969,,,
5089,2021-11-07 16:22:55.211,,,
5090,2021-11-07 16:22:55.453,,,
5091,2021-11-07 16:22:55.685,,,
5092,2021-11-07 16:22:55.926,,,
5093,2021-11-07 16:22:56.168,,,
5094,2021-11-07 16:22:56.410,,,
5095,2021-11-07 16:22:56.652,,,
5096,2021-11-07 16:22:56.883,,,
5097,2021-11-07 16:22:57.125,,,
5098,2021-11-07 16:22:57.367,,,
5099,2021-11-07 16:22:57.609,,,
5100,2021-11-07 16:22:57.850,,,
5101,2021-11-07 16:22:58.092,,,
5102,2021-11-07 16:22:58.324,,,
5103,2021-11-07 16:22:58.565,,,
5104,2021-11-07 16:22:58.807,,,
5105,2021-11-07 16:22:59.049,,,
5106,2021-11-07 16:22:59.291,,,
5107,2021-11-07 16:22:59.532,,,
5108,2021-11-07 16:22:59.774,,,
5109,2021-11-07 16:23:00.006,,,
5110,2021-11-07 16:23:00.248,,,
5111,2021-11-07 16:23:00.489,,,
5112,2021-11-07 16:23:00.731,,,
5113,2021-11-07 16:23:00.973,,,
5114,2021-11-07 16:23:01.205,,,
5115,2021-11-07 16:23:01.446,,,
5116,2021-11-07 16:23:01.688,,,
5117,2021-11-07 16:23:01.930,,,
5118,2021-11-07 16:23:02.172,,,
5119,2021-11-07 16:23:02.413,,,
5120,2021-11-07 16:23:02.645,,,
5121,2021-11-07 16:23:02.887,,,
5122,2021-11-07 16:23:03.128,,,
5123,2021-11-07 16:23:03.370,,,
5124,2021-11-07 16:23:03.612,,,
5125,2021-11-07 16:23:03.844,,,
5126,2021-11-07 16:23:04.085,,,
5127,2021-11-07 16:23:04.327,,,
5128,2021-11-07 16:23:04.569,,,
5129,2021-11-07 16:23:04.811,,,
5130,2021-11-07 16:23:05.052,,,
5131,2021-11-07 16:23:05.284,,,
5132,2021-11-07 16:23:05.526,,,
5133,2021-11-07 16:23:05.768,,,
5134,2021-11-07 16:23:06.009,,,
5135,2021-11-07 16:23:06.251,,,
5136,2021-11-07 16:23:06.493,,,
5137,2021-11-07 16:23:06.735,,,
5138,2021-11-07 16:23:06.966,,,
5139,2021-11-07 16:23:07.208,,,
5140,2021-11-07 16:23:07.450,,,
5141,2021-11-07 16:23:07.691,,,
5142,2021-11-07 16:23:07.933,,,
5143,2021-11-07 16:23:08.165,,,
5144,2021-11-07 16:23:08.407,,,
5145,2021-11-07 16:23:08.648,,,
5146,2021-11-07 16:23:08.890,,,
5147,2021-11-07 16:23:09.132,,,
5148,2021-11-07 16:23:09.374,,,
5149,2021-11-07 16:23:09.605,,,
5150,2021-11-07 16:23:09.847,,,
5151,2021-11-07 16:23:10.089,,,
5152,2021-11-07 16:23:10.331,,,
5153,2021-11-07 16:23:10.572,,,
5154,2021-11-07 16:23:10.814,,,
5155,2021-11-07 16:23:11.046,,,
5156,2021-11-07 16:23:11.287,,,
5157,2021-11-07 16:23:11.529,,,
5158,2021-11-07 16:23:11.771,,,
5159,2021-11-07 16:23:12.013,,,
5160,2021-11-07 16:23:12.244,,,
5161,2021-11-07 16:23:12.486,,,
5162,2021-11-07 16:23:12.738,,,
5163,2021-11-07 16:23:12.970,,,
5164,2021-11-07 16:23:13.211,,,
5165,2021-11-07 16:23:13.453,,,
5166,2021-11-07 16:23:13.685,,,
5167,2021-11-07 16:23:13.927,,,
5168,2021-11-07 16:23:14.168,,,
5169,2021-11-07 16:23:14.410,,,
5170,2021-11-07 16:23:14.652,,,
5171,2021-11-07 16:23:14.894,,,
5172,2021-11-07 16:23:15.125,,,
5173,2021-11-07 16:23:15.367,,,
5174,2021-11-07 16:23:15.609,,,
5175,2021-11-07 16:23:15.850,,,
5176,2021-11-07 16:23:16.092,,,
5177,2021-11-07 16:23:16.334,,,
5178,2021-11-07 16:23:16.566,,,
5179,2021-11-07 16:23:16.807,,,
5180,2021-11-07 16:23:17.049,,,
5181,2021-11-07 16:23:17.291,,,
5182,2021-11-07 16:23:17.533,,,
5183,2021-11-07 16:23:17.764,,,
5184,2021-11-07 16:23:18.006,,,
5185,2021-11-07 16:23:18.248,,,
5186,2021-11-07 16:23:18.490,,,
5187,2021-11-07 16:23:18.731,,,
5188,2021-11-07 16:23:18.973,,,
5189,2021-11-07 16:23:19.205,,,
5190,2021-11-07 16:23:19.446,,,
5191,2021-11-07 16:23:19.688,,,
5192,2021-11-07 16:23:19.930,,,
5193,2021-11-07 16:23:20.172,,,
5194,2021-11-07 16:23:20.403,,,
5195,2021-11-07 16:23:20.645,,,
5196,2021-11-07 16:23:20.887,,,
5197,2021-11-07 16:23:21.129,,,
5198,2021-11-07 16:23:21.370,,,
5199,2021-11-07 16:23:21.612,,,
5200,2021-11-07 16:23:21.854,,,
5201,2021-11-07 16:23:22.086,,,
5202,2021-11-07 16:23:22.327,,,
5203,2021-11-07 16:23:22.569,,,
5204,2021-11-07 16:23:22.811,,,
5205,2021-11-07 16:23:23.053,,,
5206,2021-11-07 16:23:23.294,,,
5207,2021-11-07 16:23:23.526,,,
5208,2021-11-07 16:23:23.768,,,
5209,2021-11-07 16:23:24.009,,,
5210,2021-11-07 16:23:24.251,,,
5211,2021-11-07 16:23:24.493,,,
5212,2021-11-07 16:23:24.735,,,
5213,2021-11-07 16:23:24.966,,,
5214,2021-11-07 16:23:25.208,,,
5215,2021-11-07 16:23:25.450,,,
5216,2021-11-07 16:23:25.692,,,
5217,2021-11-07 16:23:25.933,,,
5218,2021-11-07 16:23:26.165,,,
5219,2021-11-07 16:23:26.407,,,
5220,2021-11-07 16:23:26.649,,,
5221,2021-11-07 16:23:26.890,,,
5222,2021-11-07 16:23:27.132,,,
5223,2021-11-07 16:23:27.374,,,
5224,2021-11-07 16:23:27.605,,,
5225,2021-11-07 16:23:27.847,,,
5226,2021-11-07 16:23:28.089,,,
5227,2021-11-07 16:23:28.331,,,
5228,2021-11-07 16:23:28.572,,,
5229,2021-11-07 16:23:28.814,,,
5230,2021-11-07 16:23:29.046,,,
5231,2021-11-07 16:23:29.288,,,
5232,2021-11-07 16:23:29.529,,,
5233,2021-11-07 16:23:29.771,,,
5234,2021-11-07 16:23:30.013,,,
5235,2021-11-07 16:23:30.255,,,
5236,2021-11-07 16:23:30.486,,,
5237,2021-11-07 16:23:30.738,,,
5238,2021-11-07 16:23:30.970,,,
5239,2021-11-07 16:23:31.212,,,
5240,2021-11-07 16:23:31.453,,,
5241,2021-11-07 16:23:31.685,,,
5242,2021-11-07 16:23:31.927,,,
5243,2021-11-07 16:23:32.168,,,
5244,2021-11-07 16:23:32.410,,,
5245,2021-11-07 16:23:32.652,,,
5246,2021-11-07 16:23:32.894,,,
5247,2021-11-07 16:23:33.125,,,
5248,2021-11-07 16:23:33.367,,,
5249,2021-11-07 16:23:33.609,,,
5250,2021-11-07 16:23:33.851,,,
5251,2021-11-07 16:23:34.092,,,
5252,2021-11-07 16:23:34.334,,,
5253,2021-11-07 16:23:34.566,,,
5254,2021-11-07 16:23:34.808,,,
5255,2021-11-07 16:23:35.049,,,
5256,2021-11-07 16:23:35.291,,,
5257,2021-11-07 16:23:35.533,,,
5258,2021-11-07 16:23:35.775,,,
5259,2021-11-07 16:23:36.006,,,
5260,2021-11-07 16:23:36.248,,,
5261,2021-11-07 16:23:36.490,,,
5262,2021-11-07 16:23:36.731,,,
5263,2021-11-07 16:23:36.973,,,
5264,2021-11-07 16:23:37.205,,,
5265,2021-11-07 16:23:37.447,,,
5266,2021-11-07 16:23:37.688,,,
5267,2021-11-07 16:23:37.930,,,
5268,2021-11-07 16:23:38.172,,,
5269,2021-11-07 16:23:38.414,,,
5270,2021-11-07 16:23:38.645,,,
5271,2021-11-07 16:23:38.887,,,
5272,2021-11-07 16:23:39.129,,,
5273,2021-11-07 16:23:39.371,,,
5274,2021-11-07 16:23:39.612,,,
5275,2021-11-07 16:23:39.854,,,
5276,2021-11-07 16:23:40.086,,,
5277,2021-11-07 16:23:40.327,,,
5278,2021-11-07 16:23:40.569,,,
5279,2021-11-07 16:23:40.811,,,
5280,2021-11-07 16:23:41.053,,,
5281,2021-11-07 16:23:41.294,,,
5282,2021-11-07 16:23:41.526,,,
5283,2021-11-07 16:23:41.768,,,
5284,2021-11-07 16:23:42.010,,,
5285,2021-11-07 16:23:42.251,,,
5286,2021-11-07 16:23:42.493,,,
5287,2021-11-07 16:23:42.735,,,
5288,2021-11-07 16:23:42.967,,,
5289,2021-11-07 16:23:43.208,,,
5290,2021-11-07 16:23:43.450,,,
5291,2021-11-07 16:23:43.692,,,
5292,2021-11-07 16:23:43.934,,,
5293,2021-11-07 16:23:44.175,,,
5294,2021-11-07 16:23:44.407,,,
5295,2021-11-07 16:23:44.649,,,
5296,2021-11-07 16:23:44.890,,,
5297,2021-11-07 16:23:45.132,,,
5298,2021-11-07 16:23:45.374,,,
5299,2021-11-07 16:23:45.606,,,
5300,2021-11-07 16:23:45.847,,,
5301,2021-11-07 16:23:46.089,,,
5302,2021-11-07 16:23:46.331,,,
5303,2021-11-07 16:23:46.573,,,
5304,2021-11-07 16:23:46.814,,,
5305,2021-11-07 16:23:47.046,,,
5306,2021-11-07 16:23:47.288,,,
5307,2021-11-07 16:23:47.530,,,
5308,2021-11-07 16:23:47.771,,,
5309,2021-11-07 16:23:48.013,,,
5310,2021-11-07 16:23:48.255,,,
5311,2021-11-07 16:23:48.486,,,
5312,2021-11-07 16:23:48.738,,,
5313,2021-11-07 16:23:48.970,,,
5314,2021-11-07 16:23:49.212,,,
5315,2021-11-07 16:23:49.453,,,
5316,2021-11-07 16:23:49.695,,,
5317,2021-11-07 16:23:49.927,,,
5318,2021-11-07 16:23:50.169,,,
5319,2021-11-07 16:23:50.410,,,
5320,2021-11-07 16:23:50.652,,,
5321,2021-11-07 16:23:50.894,,,
5322,2021-11-07 16:23:51.136,,,
5323,2021-11-07 16:23:51.367,,,
5324,2021-11-07 16:23:51.609,,,
5325,2021-11-07 16:23:51.851,,,
5326,2021-11-07 16:23:52.093,,,
5327,2021-11-07 16:23:52.334,,,
5328,2021-11-07 16:23:52.566,,,
5329,2021-11-07 16:23:52.808,,,
5330,2021-11-07 16:23:53.049,,,
5331,2021-11-07 16:23:53.291,,,
5332,2021-11-07 16:23:53.533,,,
5333,2021-11-07 16:23:53.775,,,
5334,2021-11-07 16:23:54.006,,,
5335,2021-11-07 16:23:54.248,,,
5336,2021-11-07 16:23:54.490,,,
5337,2021-11-07 16:23:54.732,,,
5338,2021-11-07 16:23:54.973,,,
5339,2021-11-07 16:23:55.215,,,
5340,2021-11-07 16:23:55.447,,,
5341,2021-11-07 16:23:55.689,,,
5342,2021-11-07 16:23:55.930,,,
5343,2021-11-07 16:23:56.172,,,
5344,2021-11-07 16:23:56.414,,,
5345,2021-11-07 16:23:56.656,,,
5346,2021-11-07 16:23:56.887,,,
5347,2021-11-07 16:23:57.129,,,
5348,2021-11-07 16:23:57.371,,,
5349,2021-11-07 16:23:57.612,,,
5350,2021-11-07 16:23:57.854,,,
5351,2021-11-07 16:23:58.096,,,
5352,2021-11-07 16:23:58.328,,,
5353,2021-11-07 16:23:58.569,,,
5354,2021-11-07 16:23:58.811,,,
5355,2021-11-07 16:23:59.053,,,
5356,2021-11-07 16:23:59.295,,,
5357,2021-11-07 16:23:59.536,,,
5358,2021-11-07 16:23:59.778,,,
5359,2021-11-07 16:24:00.010,,,
5360,2021-11-07 16:24:00.252,,,
5361,2021-11-07 16:24:00.493,,,
5362,2021-11-07 16:24:00.735,,,
5363,2021-11-07 16:24:00.967,,,
5364,2021-11-07 16:24:01.208,,,
5365,2021-11-07 16:24:01.450,,,
5366,2021-11-07 16:24:01.692,,,
5367,2021-11-07 16:24:01.934,,,
5368,2021-11-07 16:24:02.175,,,
5369,2021-11-07 16:24:02.407,,,
5370,2021-11-07 16:24:02.649,,,
5371,2021-11-07 16:24:02.891,,,
5372,2021-11-07 16:24:03.132,,,
5373,2021-11-07 16:24:03.374,,,
5374,2021-11-07 16:24:03.616,,,
5375,2021-11-07 16:24:03.848,,,
5376,2021-11-07 16:24:04.089,,,
5377,2021-11-07 16:24:04.331,,,
5378,2021-11-07 16:24:04.573,,,
5379,2021-11-07 16:24:04.815,,,
5380,2021-11-07 16:24:05.056,,,
5381,2021-11-07 16:24:05.288,,,
5382,2021-11-07 16:24:05.530,,,
5383,2021-11-07 16:24:05.771,,,
5384,2021-11-07 16:24:06.013,,,
5385,2021-11-07 16:24:06.255,,,
5386,2021-11-07 16:24:06.487,,,
5387,2021-11-07 16:24:06.738,,,
5388,2021-11-07 16:24:06.970,,,
5389,2021-11-07 16:24:07.212,,,
5390,2021-11-07 16:24:07.454,,,
5391,2021-11-07 16:24:07.695,,,
5392,2021-11-07 16:24:07.927,,,
5393,2021-11-07 16:24:08.169,,,
5394,2021-11-07 16:24:08.411,,,
5395,2021-11-07 16:24:08.652,,,
5396,2021-11-07 16:24:08.894,,,
5397,2021-11-07 16:24:09.136,,,
5398,2021-11-07 16:24:09.367,,,
5399,2021-11-07 16:24:09.609,,,
5400,2021-11-07 16:24:09.851,,,
5401,2021-11-07 16:24:10.093,,,
5402,2021-11-07 16:24:10.334,,,
5403,2021-11-07 16:24:10.576,,,
5404,2021-11-07 16:24:10.808,,,
5405,2021-11-07 16:24:11.050,,,
5406,2021-11-07 16:24:11.291,,,
5407,2021-11-07 16:24:11.533,,,
5408,2021-11-07 16:24:11.775,,,
5409,2021-11-07 16:24:12.017,,,
5410,2021-11-07 16:24:12.248,,,
5411,2021-11-07 16:24:12.490,,,
5412,2021-11-07 16:24:12.742,,,
5413,2021-11-07 16:24:12.974,,,
5414,2021-11-07 16:24:13.215,,,
5415,2021-11-07 16:24:13.457,,,
5416,2021-11-07 16:24:13.689,,,
5417,2021-11-07 16:24:13.930,,,
5418,2021-11-07 16:24:14.172,,,
5419,2021-11-07 16:24:14.414,,,
5420,2021-11-07 16:24:14.656,,,
5421,2021-11-07 16:24:14.887,,,
5422,2021-11-07 16:24:15.129,,,
5423,2021-11-07 16:24:15.371,,,
5424,2021-11-07 16:24:15.613,,,
5425,2021-11-07 16:24:15.854,,,
5426,2021-11-07 16:24:16.096,,,
5427,2021-11-07 16:24:16.328,,,
5428,2021-11-07 16:24:16.570,,,
5429,2021-11-07 16:24:16.811,,,
5430,2021-11-07 16:24:17.053,,,
5431,2021-11-07 16:24:17.295,,,
5432,2021-11-07 16:24:17.537,,,
5433,2021-11-07 16:24:17.768,,,
5434,2021-11-07 16:24:18.010,,,
5435,2021-11-07 16:24:18.252,,,
5436,2021-11-07 16:24:18.493,,,
5437,2021-11-07 16:24:18.735,,,
5438,2021-11-07 16:24:18.977,,,
5439,2021-11-07 16:24:19.209,,,
5440,2021-11-07 16:24:19.450,,,
5441,2021-11-07 16:24:19.692,,,
5442,2021-11-07 16:24:19.934,,,
5443,2021-11-07 16:24:20.176,,,
5444,2021-11-07 16:24:20.417,,,
5445,2021-11-07 16:24:20.649,,,
5446,2021-11-07 16:24:20.891,,,
5447,2021-11-07 16:24:21.133,,,
5448,2021-11-07 16:24:21.374,,,
5449,2021-11-07 16:24:21.616,,,
5450,2021-11-07 16:24:21.848,,,
5451,2021-11-07 16:24:22.089,,,
5452,2021-11-07 16:24:22.331,,,
5453,2021-11-07 16:24:22.573,,,
5454,2021-11-07 16:24:22.815,,,
5455,2021-11-07 16:24:23.056,,,
5456,2021-11-07 16:24:23.288,,,
5457,2021-11-07 16:24:23.530,,,
5458,2021-11-07 16:24:23.772,,,
5459,2021-11-07 16:24:24.013,,,
5460,2021-11-07 16:24:24.255,,,
5461,2021-11-07 16:24:24.497,,,
5462,2021-11-07 16:24:24.739,,,
5463,2021-11-07 16:24:24.970,,,
5464,2021-11-07 16:24:25.212,,,
5465,2021-11-07 16:24:25.454,,,
5466,2021-11-07 16:24:25.696,,,
5467,2021-11-07 16:24:25.937,,,
5468,2021-11-07 16:24:26.169,,,
5469,2021-11-07 16:24:26.411,,,
5470,2021-11-07 16:24:26.652,,,
5471,2021-11-07 16:24:26.894,,,
5472,2021-11-07 16:24:27.136,,,
5473,2021-11-07 16:24:27.368,,,
5474,2021-11-07 16:24:27.609,,,
5475,2021-11-07 16:24:27.851,,,
5476,2021-11-07 16:24:28.093,,,
5477,2021-11-07 16:24:28.335,,,
5478,2021-11-07 16:24:28.576,,,
5479,2021-11-07 16:24:28.808,,,
5480,2021-11-07 16:24:29.050,,,
5481,2021-11-07 16:24:29.292,,,
5482,2021-11-07 16:24:29.533,,,
5483,2021-11-07 16:24:29.775,,,
5484,2021-11-07 16:24:30.017,,,
5485,2021-11-07 16:24:30.248,,,
5486,2021-11-07 16:24:30.490,,,
5487,2021-11-07 16:24:30.742,,,
5488,2021-11-07 16:24:30.974,,,
5489,2021-11-07 16:24:31.215,,,
5490,2021-11-07 16:24:31.457,,,
5491,2021-11-07 16:24:31.689,,,
5492,2021-11-07 16:24:31.931,,,
5493,2021-11-07 16:24:32.172,,,
5494,2021-11-07 16:24:32.414,,,
5495,2021-11-07 16:24:32.656,,,
5496,2021-11-07 16:24:32.888,,,
5497,2021-11-07 16:24:33.129,,,
5498,2021-11-07 16:24:33.371,,,
5499,2021-11-07 16:24:33.613,,,
5500,2021-11-07 16:24:33.855,,,
5501,2021-11-07 16:24:34.096,,,
5502,2021-11-07 16:24:34.328,,,
5503,2021-11-07 16:24:34.570,,,
5504,2021-11-07 16:24:34.811,,,
5505,2021-11-07 16:24:35.053,,,
5506,2021-11-07 16:24:35.295,,,
5507,2021-11-07 16:24:35.537,,,
5508,2021-11-07 16:24:35.778,,,
5509,2021-11-07 16:24:36.010,,,
5510,2021-11-07 16:24:36.252,,,
5511,2021-11-07 16:24:36.494,,,
5512,2021-11-07 16:24:36.735,,,
5513,2021-11-07 16:24:36.977,,,
5514,2021-11-07 16:24:37.209,,,
5515,2021-11-07 16:24:37.451,,,
5516,2021-11-07 16:24:37.692,,,
5517,2021-11-07 16:24:37.934,,,
5518,2021-11-07 16:24:38.176,,,
5519,2021-11-07 16:24:38.417,,,
5520,2021-11-07 16:24:38.649,,,
5521,2021-11-07 16:24:38.891,,,
5522,2021-11-07 16:24:39.133,,,
5523,2021-11-07 16:24:39.374,,,
5524,2021-11-07 16:24:39.616,,,
5525,2021-11-07 16:24:39.858,,,
5526,2021-11-07 16:24:40.090,,,
5527,2021-11-07 16:24:40.331,,,
5528,2021-11-07 16:24:40.573,,,
5529,2021-11-07 16:24:40.815,,,
5530,2021-11-07 16:24:41.057,,,
5531,2021-11-07 16:24:41.288,,,
5532,2021-11-07 16:24:41.530,,,
5533,2021-11-07 16:24:41.772,,,
5534,2021-11-07 16:24:42.014,,,
5535,2021-11-07 16:24:42.255,,,
5536,2021-11-07 16:24:42.497,,,
5537,2021-11-07 16:24:42.739,,,
5538,2021-11-07 16:24:42.970,,,
5539,2021-11-07 16:24:43.212,,,
5540,2021-11-07 16:24:43.454,,,
5541,2021-11-07 16:24:43.696,,,
5542,2021-11-07 16:24:43.937,,,
5543,2021-11-07 16:24:44.169,,,
5544,2021-11-07 16:24:44.411,,,
5545,2021-11-07 16:24:44.653,,,
5546,2021-11-07 16:24:44.894,,,
5547,2021-11-07 16:24:45.136,,,
5548,2021-11-07 16:24:45.378,,,
5549,2021-11-07 16:24:45.610,,,
5550,2021-11-07 16:24:45.851,,,
5551,2021-11-07 16:24:46.093,,,
5552,2021-11-07 16:24:46.335,,,
5553,2021-11-07 16:24:46.576,,,
5554,2021-11-07 16:24:46.818,,,
5555,2021-11-07 16:24:47.050,,,
5556,2021-11-07 16:24:47.292,,,
5557,2021-11-07 16:24:47.533,,,
5558,2021-11-07 16:24:47.775,,,
5559,2021-11-07 16:24:48.017,,,
5560,2021-11-07 16:24:48.259,,,
5561,2021-11-07 16:24:48.490,,,
5562,2021-11-07 16:24:48.742,,,
5563,2021-11-07 16:24:48.974,,,
5564,2021-11-07 16:24:49.216,,,
5565,2021-11-07 16:24:49.457,,,
5566,2021-11-07 16:24:49.689,,,
5567,2021-11-07 16:24:49.931,,,
5568,2021-11-07 16:24:50.173,,,
5569,2021-11-07 16:24:50.414,,,
5570,2021-11-07 16:24:50.656,,,
5571,2021-11-07 16:24:50.898,,,
5572,2021-11-07 16:24:51.129,,,
5573,2021-11-07 16:24:51.371,,,
5574,2021-11-07 16:24:51.613,,,
5575,2021-11-07 16:24:51.855,,,
5576,2021-11-07 16:24:52.096,,,
5577,2021-11-07 16:24:52.338,,,
5578,2021-11-07 16:24:52.570,,,
5579,2021-11-07 16:24:52.812,,,
5580,2021-11-07 16:24:53.053,,,
5581,2021-11-07 16:24:53.295,,,
5582,2021-11-07 16:24:53.537,,,
5583,2021-11-07 16:24:53.779,,,
5584,2021-11-07 16:24:54.010,,,
5585,2021-11-07 16:24:54.252,,,
5586,2021-11-07 16:24:54.494,,,
5587,2021-11-07 16:24:54.735,,,
5588,2021-11-07 16:24:54.977,,,
5589,2021-11-07 16:24:55.209,,,
5590,2021-11-07 16:24:55.451,,,
5591,2021-11-07 16:24:55.692,,,
5592,2021-11-07 16:24:55.934,,,
5593,2021-11-07 16:24:56.176,,,
5594,2021-11-07 16:24:56.418,,,
5595,2021-11-07 16:24:56.649,,,
5596,2021-11-07 16:24:56.891,,,
5597,2021-11-07 16:24:57.133,,,
5598,2021-11-07 16:24:57.375,,,
5599,2021-11-07 16:24:57.616,,,
5600,2021-11-07 16:24:57.858,,,
5601,2021-11-07 16:24:58.090,,,
5602,2021-11-07 16:24:58.332,,,
5603,2021-11-07 16:24:58.573,,,
5604,2021-11-07 16:24:58.815,,,
5605,2021-11-07 16:24:59.057,,,
5606,2021-11-07 16:24:59.288,,,
5607,2021-11-07 16:24:59.530,,,
5608,2021-11-07 16:24:59.772,,,
5609,2021-11-07 16:25:00.014,,,
5610,2021-11-07 16:25:00.255,,,
5611,2021-11-07 16:25:00.497,,,
5612,2021-11-07 16:25:00.739,,,
5613,2021-11-07 16:25:00.971,,,
5614,2021-11-07 16:25:01.212,,,
5615,2021-11-07 16:25:01.454,,,
5616,2021-11-07 16:25:01.696,,,
5617,2021-11-07 16:25:01.938,,,
5618,2021-11-07 16:25:02.169,,,
5619,2021-11-07 16:25:02.411,,,
5620,2021-11-07 16:25:02.653,,,
5621,2021-11-07 16:25:02.894,,,
5622,2021-11-07 16:25:03.136,,,
5623,2021-11-07 16:25:03.378,,,
5624,2021-11-07 16:25:03.610,,,
5625,2021-11-07 16:25:03.851,,,
5626,2021-11-07 16:25:04.093,,,
5627,2021-11-07 16:25:04.335,,,
5628,2021-11-07 16:25:04.577,,,
5629,2021-11-07 16:25:04.808,,,
5630,2021-11-07 16:25:05.050,,,
5631,2021-11-07 16:25:05.292,,,
5632,2021-11-07 16:25:05.534,,,
5633,2021-11-07 16:25:05.775,,,
5634,2021-11-07 16:25:06.017,,,
5635,2021-11-07 16:25:06.249,,,
5636,2021-11-07 16:25:06.490,,,
5637,2021-11-07 16:25:06.742,,,
5638,2021-11-07 16:25:06.974,,,
5639,2021-11-07 16:25:07.216,,,
5640,2021-11-07 16:25:07.457,,,
5641,2021-11-07 16:25:07.689,,,
5642,2021-11-07 16:25:07.931,,,
5643,2021-11-07 16:25:08.173,,,
5644,2021-11-07 16:25:08.414,,,
5645,2021-11-07 16:25:08.656,,,
5646,2021-11-07 16:25:08.898,,,
5647,2021-11-07 16:25:09.130,,,
5648,2021-11-07 16:25:09.371,,,
5649,2021-11-07 16:25:09.613,,,
5650,2021-11-07 16:25:09.855,,,
5651,2021-11-07 16:25:10.097,,,
5652,2021-11-07 16:25:10.338,,,
5653,2021-11-07 16:25:10.570,,,
5654,2021-11-07 16:25:10.812,,,
5655,2021-11-07 16:25:11.053,,,
5656,2021-11-07 16:25:11.295,,,
5657,2021-11-07 16:25:11.537,,,
5658,2021-11-07 16:25:11.779,,,
5659,2021-11-07 16:25:12.010,,,
5660,2021-11-07 16:25:12.252,,,
5661,2021-11-07 16:25:12.494,,,
5662,2021-11-07 16:25:12.736,,,
5663,2021-11-07 16:25:12.977,,,
5664,2021-11-07 16:25:13.209,,,
5665,2021-11-07 16:25:13.451,,,
5666,2021-11-07 16:25:13.693,,,
5667,2021-11-07 16:25:13.934,,,
5668,2021-11-07 16:25:14.176,,,
