,stamp,lon,lat,speed
159,2021-11-07 16:03:05.861,,,
160,2021-11-07 16:03:06.103,,,
161,2021-11-07 16:03:06.344,,,
162,2021-11-07 16:03:06.576,,,
163,2021-11-07 16:03:06.818,,,
164,2021-11-07 16:03:07.060,,,
165,2021-11-07 16:03:07.301,,,
166,2021-11-07 16:03:07.543,,,
167,2021-11-07 16:03:07.785,,,
168,2021-11-07 16:03:08.027,,,
169,2021-11-07 16:03:08.258,,,
170,2021-11-07 16:03:08.500,,,
171,2021-11-07 16:03:08.742,,,
172,2021-11-07 16:03:08.983,,,
173,2021-11-07 16:03:09.225,,,
174,2021-11-07 16:03:09.457,,,
175,2021-11-07 16:03:09.699,,,
176,2021-11-07 16:03:09.940,,,
177,2021-11-07 16:03:10.182,,,
178,2021-11-07 16:03:10.424,,,
179,2021-11-07 16:03:10.666,,,
180,2021-11-07 16:03:10.897,,,
181,2021-11-07 16:03:11.139,,,
182,2021-11-07 16:03:11.381,,,
183,2021-11-07 16:03:11.623,,,
184,2021-11-07 16:03:11.864,,,
185,2021-11-07 16:03:12.106,,,
186,2021-11-07 16:03:12.338,,,
187,2021-11-07 16:03:12.579,,,
188,2021-11-07 16:03:12.821,,,
189,2021-11-07 16:03:13.063,,,
190,2021-11-07 16:03:13.305,,,
191,2021-11-07 16:03:13.546,,,
192,2021-11-07 16:03:13.778,,,
193,2021-11-07 16:03:14.020,,,
194,2021-11-07 16:03:14.262,,,
195,2021-11-07 16:03:14.503,,,
196,2021-11-07 16:03:14.745,,,
197,2021-11-07 16:03:14.987,,,
198,2021-11-07 16:03:15.219,,,
199,2021-11-07 16:03:15.460,,,
200,2021-11-07 16:03:15.702,,,
201,2021-11-07 16:03:15.944,,,
202,2021-11-07 16:03:16.186,,,
203,2021-11-07 16:03:16.417,,,
204,2021-11-07 16:03:16.659,,,
205,2021-11-07 16:03:16.901,,,
206,2021-11-07 16:03:17.142,,,
207,2021-11-07 16:03:17.384,,,
208,2021-11-07 16:03:17.626,,,
209,2021-11-07 16:03:17.858,,,
210,2021-11-07 16:03:18.099,,,
211,2021-11-07 16:03:18.341,,,
212,2021-11-07 16:03:18.583,,,
213,2021-11-07 16:03:18.825,,,
214,2021-11-07 16:03:19.066,,,
215,2021-11-07 16:03:19.298,,,
216,2021-11-07 16:03:19.540,,,
217,2021-11-07 16:03:19.782,,,
218,2021-11-07 16:03:20.023,,,
219,2021-11-07 16:03:20.265,,,
220,2021-11-07 16:03:20.507,,,
221,2021-11-07 16:03:20.738,,,
222,2021-11-07 16:03:20.990,,,
223,2021-11-07 16:03:21.222,,,
