,Possession time,Last third possession time,Pass by possession,Possessions/Shot,Number of passes before a shot,Possession time before a shot,PPDA,Challenge intensity index,Average heigth of defensive actions,Average heigth of defensive actions (center backs),xG,xT
count,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
mean,67.43900345449349,53.5594514275263,48.50272357909643,50.87341164575967,49.2727560608588,106.23450260599205,53.95769654425409,45.962377728754454,74.47809876157753,70.20966518931533,46.68139284863138,46.18213651990615
std,118.73780222830067,124.11482424690719,125.876720364768,124.96161751814415,125.59326285133172,166.82878421194397,123.80147785741941,126.89176858604492,116.16019945495233,118.25423762102226,126.61461981872453,126.80508112143913
min,5.998333191503464,3.1,0.8696497438825432,2.1340153882995385,1.25,4.81,2.87446639833088,0.30429960781338905,4.359734537064589,7.35,0.102265029,0.2422355099999999
25%,21.8825,5.4386111883859245,3.495625,4.81375,3.1458315661620575,15.9225,7.536353326612904,0.8374999999999999,33.25375,21.557851211963996,0.9241533897377127,0.875324276013693
50%,28.465597222222208,7.989333333333335,4.421069444444445,6.865388888888889,4.825611111111111,20.472430555555558,10.171400760108982,1.1523611111111107,38.35752777777779,31.95295833333333,1.5054362443001383,1.3381131775972221
75%,35.989374999999995,14.713125,5.526875,9.753125,7.543125,106.72586980261894,14.71875,1.585,43.46875,42.60375,3.1738920530000003,2.08854135
max,360.0,360.0,360.0,360.0,360.0,392.04,360.0,360.0,360.0,360.0,360.0,360.0
