,Possession time,Last third possession time,Pass by possession,Possessions/Shot,Number of passes before a shot,Possession time before a shot,PPDA,Challenge intensity index,Average heigth of defensive actions,Average heigth of defensive actions (center backs),xG,xT
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,28.73119444444444,8.408666666666669,4.457138888888889,6.985777777777779,4.941222222222222,19.24236111111111,10.370337752102019,1.164722222222222,38.36505555555556,31.795916666666663,1.5783107263502776,1.3602177251944443
std,2.485771916477374,1.4220699354232078,0.26080767928903414,0.8682910623740339,0.4776519214079342,3.8447758149711193,0.9313785619850616,0.08784563325064679,1.2566087628973466,2.0321517094277968,0.329511025216689,0.2534894409967005
min,24.91166666666667,6.2875,4.053055555555556,5.788888888888889,4.1241666666666665,14.825555555555557,8.768021595994275,1.0688888888888888,37.01444444444444,29.236944444444443,1.096946787897222,0.9935188436111111
25%,27.435277777777777,7.684166666666667,4.294027777777778,6.237708333333334,4.727986111111111,16.86847222222222,9.731124450103938,1.0863194444444444,37.49027777777778,30.99847222222222,1.3407727557194447,1.1555887788888888
50%,28.494722222222222,8.2025,4.467361111111112,6.977222222222222,4.99,18.333888888888886,10.81797275557205,1.1426388888888888,38.22430555555556,31.673194444444444,1.6012942686944445,1.3967574755555554
75%,29.462430555555557,8.743125,4.583472222222223,7.602777777777778,5.170833333333333,20.69388888888889,11.101164453640136,1.2374305555555556,38.63270833333333,32.113819444444445,1.8268361752291664,1.5160128336805554
max,33.25888888888889,10.753888888888888,4.849166666666666,8.520833333333334,5.639444444444445,27.0575,11.187471573403892,1.323611111111111,41.4225,36.70722222222222,2.109138636977778,1.8067720288888889
